hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
5,single,0,9,670
5,single,1,9,769
5,single,2,9,892
5,single,3,9,1014
5,married,0,10,991
5,married,1,10,1075
5,married,2,10,1144
5,married,3,10,1233
5,single,0,10,722
5,single,1,10,822
5,single,2,10,944
5,single,3,10,1067
5,married,0,11,1055
5,married,1,11,1139
5,married,2,11,1208
5,married,3,11,1298
5,single,0,11,787
5,single,1,11,886
5,single,2,11,1010
5,single,3,11,1133
5,married,0,12,1170
5,married,1,12,1254
5,married,2,12,1323
5,married,3,12,1414
5,single,0,12,902
5,single,1,12,1002
5,single,2,12,1126
5,single,3,12,1251
5,married,0,13,1342
5,married,1,13,1426
5,married,2,13,1495
5,married,3,13,1588
5,single,0,13,1075
5,single,1,13,1176
5,single,2,13,1302
5,single,3,13,1427
5,married,0,14,1364
5,married,1,14,1448
5,married,2,14,1517
5,married,3,14,1610
5,single,0,14,1098
5,single,1,14,1199
5,single,2,14,1324
5,single,3,14,1450
6,married,0,1,620
6,married,1,1,722
6,married,2,1,790
6,married,3,1,900
6,single,0,1,334
6,single,1,1,447
6,single,2,1,567
6,single,3,1,703
6,married,0,2,620
6,married,1,2,722
6,married,2,2,790
6,married,3,2,900
6,single,0,2,350
6,single,1,2,447
6,single,2,2,567
6,single,3,2,703
6,married,0,3,636
6,married,1,3,722
6,married,2,3,790
6,married,3,3,900
6,single,0,3,366
6,single,1,3,464
6,single,2,3,583
6,single,3,3,703
6,married,0,4,662
6,married,1,4,747
6,married,2,4,816
6,married,3,4,900
6,single,0,4,391
6,single,1,4,489
6,single,2,4,609
6,single,3,4,729
6,married,0,5,702
6,married,1,5,787
6,married,2,5,856
6,married,3,5,941
6,single,0,5,432
6,single,1,5,530
6,single,2,5,650
6,single,3,5,771
6,married,0,6,763
6,married,1,6,848
6,married,2,6,917
6,married,3,6,1002
6,single,0,6,493
6,single,1,6,591
6,single,2,6,712
6,single,3,6,833
6,married,0,7,851
6,married,1,7,936
6,married,2,7,1005
6,married,3,7,1092
6,single,0,7,582
6,single,1,7,681
6,single,2,7,802
6,single,3,7,924
6,married,0,8,928
6,married,1,8,1012
6,married,2,8,1081
6,married,3,8,1169
6,single,0,8,659
6,single,1,8,758
6,single,2,8,880
6,single,3,8,1002
6,married,0,9,1006
6,married,1,9,1090
6,married,2,9,1159
6,married,3,9,1248
6,single,0,9,738
6,single,1,9,837
6,single,2,9,960
6,single,3,9,1082
6,married,0,10,1058
6,married,1,10,1142
6,married,2,10,1211
6,married,3,10,1300
6,single,0,10,790
6,single,1,10,889
6,single,2,10,1012
6,single,3,10,1135
6,married,0,11,1122
6,married,1,11,1206
6,married,2,11,1275
6,married,3,11,1365
6,single,0,11,854
6,single,1,11,954
6,single,2,11,1078
6,single,3,11,1201
6,married,0,12,1236
6,married,1,12,1320
6,married,2,12,1389
6,married,3,12,1481
6,single,0,12,969
6,single,1,12,1070
6,single,2,12,1195
6,single,3,12,1319
6,married,0,13,1408
6,married,1,13,1492
6,married,2,13,1561
6,married,3,13,1655
6,single,0,13,1143
6,single,1,13,1244
6,single,2,13,1370
6,single,3,13,1496
6,married,0,14,1431
6,married,1,14,1514
6,married,2,14,1584
6,married,3,14,1678
6,single,0,14,1165
6,single,1,14,1266
6,single,2,14,1393
6,single,3,14,1519
7,married,0,1,623
7,married,1,1,724
7,married,2,1,793
7,married,3,1,903
7,single,0,1,336
7,single,1,1,450
7,single,2,1,569
7,single,3,1,705
7,married,0,2,623
7,married,1,2,724
7,married,2,2,793
7,married,3,2,903
7,single,0,2,352
7,single,1,2,450
7,single,2,2,569
7,single,3,2,705
7,married,0,3,639
7,married,1,3,724
7,married,2,3,793
7,married,3,3,903
7,single,0,3,368
7,single,1,3,466
7,single,2,3,586
7,single,3,3,705
7,married,0,4,664
7,married,1,4,749
7,married,2,4,818
7,married,3,4,903
7,single,0,4,394
7,single,1,4,492
7,single,2,4,611
7,single,3,4,731
7,married,0,5,705
7,married,1,5,790
7,married,2,5,858
7,married,3,5,943
7,single,0,5,435
7,single,1,5,533
7,single,2,5,653
7,single,3,5,773
7,married,0,6,765
7,married,1,6,850
7,married,2,6,919
7,married,3,6,1005
7,single,0,6,496
7,single,1,6,594
7,single,2,6,714
7,single,3,6,835
7,married,0,7,854
7,married,1,7,939
7,married,2,7,1007
7,married,3,7,1094
7,single,0,7,585
7,single,1,7,683
7,single,2,7,805
7,single,3,7,926
7,married,0,8,930
7,married,1,8,1015
7,married,2,8,1083
7,married,3,8,1171
7,single,0,8,661
7,single,1,8,760
7,single,2,8,882
7,single,3,8,1004
7,married,0,9,1008
7,married,1,9,1093
7,married,2,9,1162
7,married,3,9,1250
7,single,0,9,740
7,single,1,9,839
7,single,2,9,962
7,single,3,9,1085
7,married,0,10,1060
7,married,1,10,1144
7,married,2,10,1213
7,married,3,10,1303
7,single,0,10,792
7,single,1,10,892
7,single,2,10,1015
7,single,3,10,1138
7,married,0,11,1124
7,married,1,11,1208
7,married,2,11,1277
7,married,3,11,1367
7,single,0,11,856
7,single,1,11,956
7,single,2,11,1080
7,single,3,11,1204
7,married,0,12,1239
7,married,1,12,1323
7,married,2,12,1392
7,married,3,12,1484
7,single,0,12,972
7,single,1,12,1072
7,single,2,12,1197
7,single,3,12,1322
7,married,0,13,1411
7,married,1,13,1495
7,married,2,13,1564
7,married,3,13,1658
7,single,0,13,1145
7,single,1,13,1246
7,single,2,13,1372
7,single,3,13,1498
7,married,0,14,1433
7,married,1,14,1517
7,married,2,14,1586
7,married,3,14,1680
7,single,0,14,1167
7,single,1,14,1269
7,single,2,14,1395
7,single,3,14,1521
8,married,0,1,578
8,married,1,1,680
8,married,2,1,748
8,married,3,1,858
8,single,0,1,292
8,single,1,1,405
8,single,2,1,524
8,single,3,1,660
8,married,0,2,578
8,married,1,2,680
8,married,2,2,748
8,married,3,2,858
8,single,0,2,307
8,single,1,2,405
8,single,2,2,524
8,single,3,2,660
8,married,0,3,594
8,married,1,3,680
8,married,2,3,748
8,married,3,3,858
8,single,0,3,324
8,single,1,3,421
8,single,2,3,540
8,single,3,3,660
8,married,0,4,620
8,married,1,4,705
8,married,2,4,774
8,married,3,4,858
8,single,0,4,349
8,single,1,4,447
8,single,2,4,566
8,single,3,4,686
8,married,0,5,660
8,married,1,5,745
8,married,2,5,814
8,married,3,5,899
8,single,0,5,390
8,single,1,5,488
8,single,2,5,607
8,single,3,5,727
8,married,0,6,721
8,married,1,6,806
8,married,2,6,874
8,married,3,6,960
8,single,0,6,451
8,single,1,6,549
8,single,2,6,669
8,single,3,6,789
8,married,0,7,809
8,married,1,7,894
8,married,2,7,963
8,married,3,7,1049
8,single,0,7,540
8,single,1,7,638
8,single,2,7,759
8,single,3,7,880
8,married,0,8,885
8,married,1,8,970
8,married,2,8,1039
8,married,3,8,1126
8,single,0,8,616
8,single,1,8,715
8,single,2,8,837
8,single,3,8,959
8,married,0,9,964
8,married,1,9,1048
8,married,2,9,1117
8,married,3,9,1206
8,single,0,9,695
8,single,1,9,794
8,single,2,9,917
8,single,3,9,1039
8,married,0,10,1015
8,married,1,10,1100
8,married,2,10,1169
8,married,3,10,1258
8,single,0,10,747
8,single,1,10,847
8,single,2,10,969
8,single,3,10,1092
8,married,0,11,1079
8,married,1,11,1164
8,married,2,11,1233
8,married,3,11,1323
8,single,0,11,812
8,single,1,11,911
8,single,2,11,1035
8,single,3,11,1158
8,married,0,12,1194
8,married,1,12,1278
8,married,2,12,1347
8,married,3,12,1439
8,single,0,12,927
8,single,1,12,1027
8,single,2,12,1152
8,single,3,12,1276
8,married,0,13,1366
8,married,1,13,1450
8,married,2,13,1519
8,married,3,13,1613
8,single,0,13,1100
8,single,1,13,1201
8,single,2,13,1327
8,single,3,13,1453
8,married,0,14,1388
8,married,1,14,1472
8,married,2,14,1541
8,married,3,14,1635
8,single,0,14,1123
8,single,1,14,1224
8,single,2,14,1350
8,single,3,14,1476
9,married,0,1,548
9,married,1,1,649
9,married,2,1,718
9,married,3,1,827
9,single,0,1,261
9,single,1,1,374
9,single,2,1,493
9,single,3,1,628
9,married,0,2,548
9,married,1,2,649
9,married,2,2,718
9,married,3,2,827
9,single,0,2,277
9,single,1,2,374
9,single,2,2,493
9,single,3,2,628
9,married,0,3,564
9,married,1,3,649
9,married,2,3,718
9,married,3,3,827
9,single,0,3,293
9,single,1,3,390
9,single,2,3,509
9,single,3,3,628
9,married,0,4,589
9,married,1,4,675
9,married,2,4,743
9,married,3,4,827
9,single,0,4,319
9,single,1,4,416
9,single,2,4,535
9,single,3,4,654
9,married,0,5,630
9,married,1,5,715
9,married,2,5,784
9,married,3,5,868
9,single,0,5,359
9,single,1,5,457
9,single,2,5,577
9,single,3,5,696
9,married,0,6,691
9,married,1,6,776
9,married,2,6,844
9,married,3,6,929
9,single,0,6,420
9,single,1,6,518
9,single,2,6,638
9,single,3,6,758
9,married,0,7,779
9,married,1,7,864
9,married,2,7,933
9,married,3,7,1019
9,single,0,7,509
9,single,1,7,608
9,single,2,7,728
9,single,3,7,849
9,married,0,8,855
9,married,1,8,940
9,married,2,8,1009
9,married,3,8,1096
9,single,0,8,586
9,single,1,8,685
9,single,2,8,806
9,single,3,8,927
9,married,0,9,933
9,married,1,9,1018
9,married,2,9,1087
9,married,3,9,1175
9,single,0,9,665
9,single,1,9,764
9,single,2,9,886
9,single,3,9,1008
9,married,0,10,985
9,married,1,10,1070
9,married,2,10,1138
9,married,3,10,1227
9,single,0,10,717
9,single,1,10,816
9,single,2,10,938
9,single,3,10,1061
9,married,0,11,1049
9,married,1,11,1134
9,married,2,11,1202
9,married,3,11,1292
